compound_name,smiles
NMe_bridged_dimer,C[N+]1(C)C2=C([BH2-][H+][B-]([H])1C(C=CC=C3)=C3N(C)C)C=CC=C2
NEt_bridged_dimer,[H][B-]1([N+](CC)(CC)C2=C([BH2-][H+]1)C=CC=C2)C(C=CC=C3)=C3N(CC)CC
pip_bridged_dimer,[H][B-]1([N+]2(CCCCC2)C3=C([BH2-][H+]1)C=CC=C3)C(C=CC=C4)=C4N5CCCCC5
TMP_dimer_bridged,[H][B-]1([N+]2(C(C)(C)CCCC2(C)C)C3=C([BH2-][H+]1)C=CC=C3)C(C=CC=C4)=C4N5C(C)(C)CCCC5(C)C
