,smiles
0,CC1(C)N(C(C)(C)CCC1)C2=C(BN(C3=CC=CC(Cl)=C3)C(CC(C)(C)C)=O)C=CC=C2
1,CC1(C)N(C(C)(C)CCC1)C2=C(B(N(C3=CC=CC(Cl)=C3)C(CC(C)(C)C)=O)N(C4=CC=CC(Cl)=C4)C(CC(C)(C)C)=O)C=CC=C2
2,CC(C)(C)CC(N(B1OC(C)(C)C(C)(C)O1)C2=CC=CC(Cl)=C2)=O
3,CC1(C)N(C(C)(C)CCC1)C2=C(BN(C3=CC=C(C#N)C=C3)C(C)=O)C=CC=C2
4,CC1(C)N(C(C)(C)CCC1)C2=C(B(N(C3=CC=C(C#N)C=C3)C(C)=O)N(C4=CC=C(C#N)C=C4)C(C)=O)C=CC=C2
5,CC(N(B1OC(C)(C)C(C)(C)O1)C2=CC=C(C#N)C=C2)=O
