,smiles
0,CC1(C)N(C(C)(C)CCC1)C2=C(BC3=CC(C#N)=CC=C3N(B4OC(C)(C)C(C)(C)O4)C(C)=O)C=CC=C2
1,CC1(C)N(C(C)(C)CCC1)C2=C(BC3=CC(C#N)=CC=C3NC(C)=O)C=CC=C2
