,smiles
16,CC1(C)C(C)(C)OB(N2C=CC=C2[BH-](C3=CC=CN3B4OC(C)(C)C(C)(C)O4)C5=C([NH+]6C(C)(C)CCCC6(C)C)C=CC=C5)O1
17,CC1(C)C(C)(C)OB(N2C=CC=C2B(C3=CC=CN3B4OC(C)(C)C(C)(C)O4)C5=C(N6C(C)(C)CCCC6(C)C)C=CC=C5)O1
18,CC1(C)N(C(C)(C)CCC1)C2=C(BC3=CC=CN3B4OC(C)(C)C(C)(C)O4)C=CC=C2
19,CC1(C)N(C(C)(C)CCC1)C2=C(BC3=CC=CC=C3OB4OC(C)(C)C(C)(C)O4)C=CC=C2
20,CC1(C)[NH+](C(C)(C)CCC1)C2=C([BH-](C3=CC=CC=C3OB4OC(C)(C)C(C)(C)O4)C5=CC=CC=C5OB6OC(C)(C)C(C)(C)O6)C=CC=C2
21,CC1(C)N(C(C)(C)CCC1)C2=C(B(C3=CC=CC=C3OB4OC(C)(C)C(C)(C)O4)C5=CC=CC=C5OB6OC(C)(C)C(C)(C)O6)C=CC=C2
22,CC1(C)N(C(C)(C)CCC1)C2=C(BC3=CC=CC=C3OB4OC(C)(C)C(C)(C)O4)C=CC=C2
23,BC1=C(N2C(C)(C)CCCC2(C)C)C=CC=C1
