,smiles
0,CC1(C)[NH+](C(C)(C)CCC1)C2=C([BH2-]N3C=CC=C3)C=CC=C2
1,CC1(C)N(C(C)(C)CCC1)C2=C(BN3C=CC=C3)C=CC=C2
2,CC1(C)[NH+](C(C)(C)CCC1)C2=C([BH-](N3C=CC=C3)N4C=CC=C4)C=CC=C2
3,CC1(C)N(C(C)(C)CCC1)C2=C(B(N3C=CC=C3)N4C=CC=C4)C=CC=C2
4,CC1(C)N(C(C)(C)CCC1)C2=C(BN3C=CC=C3)C=CC=C2
5,COC1=CC(OC)=CC=C1[BH-](C2=CC=C(OC)C=C2OC)C3=C([NH+]4C(C)(C)CCCC4(C)C)C=CC=C3
6,COC1=CC(OC)=CC=C1B(C2=CC=C(OC)C=C2OC)C3=C(N4C(C)(C)CCCC4(C)C)C=CC=C3
7,COC1=CC(OC)=CC=C1BC2=C(N3C(C)(C)CCCC3(C)C)C=CC=C2
