,smiles
8,CC1=C([BH-](C2=C(C)C=C(N(C)C)C=C2)C3=C([NH+]4C(C)(C)CCCC4(C)C)C=CC=C3)C=CC(N(C)C)=C1
9,CC1=C(B(C2=C(C)C=C(N(C)C)C=C2)C3=C(N4C(C)(C)CCCC4(C)C)C=CC=C3)C=CC(N(C)C)=C1
10,CC1=C(BC2=C(N3C(C)(C)CCCC3(C)C)C=CC=C2)C=CC(N(C)C)=C1
11,CC1(C)N(C(C)(C)CCC1)C2=C(BC3=CC=CN3)C=CC=C2
12,CC1(C)[NH+](C(C)(C)CCC1)C2=C([BH-](C3=CC=CN3)C4=CC=CN4)C=CC=C2
13,CC1(C)N(C(C)(C)CCC1)C2=C(B(C3=CC=CN3)C4=CC=CN4)C=CC=C2
14,CC1(C)N(C(C)(C)CCC1)C2=C(BC3=CC=CN3)C=CC=C2
15,CC1(C)N(C(C)(C)CCC1)C2=C(BC3=CC=CN3B4OC(C)(C)C(C)(C)O4)C=CC=C2
