,smiles,rpos
0,COC1=CC(OC)=CC(OC)=C1,3
1,N1(C2=CC=CC=C2)C=CC=C1,7
2,O=C(OC(C)(C)C)N1C=CC=C1,8
3,CC1(C)C(C)(C)OB(OC2=CC=CC=C2)O1,10
4,C1=CC=CN1,0
5,COc1cccc(OC)c1,3
6,Cc1cccc(N(C)C)c1,7
