,smiles
0,CN1C=CC=C1
1,OC(C=C1)=CC=C1CN2C=CC=C2
2,CC([Si](N1C=CC=C1)(C(C)C)C(C)C)C
3,C[Si](N1C=CC=C1)(C)C
4,CN1C2=C(C=CC=C2)C=C1
5,C12=CSC=C1OCCO2
6,CN1C(OC)=CC=C1
7,C1=CC=CO1
8,CC1=CC=CO1
9,CC(C1=CC=CO1)(C)C
10,COC1=CC=CO1
11,C[Si](C)(OC1=CC=CO1)C
