,smiles,active atom
0,Cc1nc2ccccc2o1,7
1,Cc1nc2cc(Br)ccc2o1,8
2,Cc1nc2ccccc2[nH]1,5
3,Cc1cc2c(Cl)ccnc2[nH]1,6
4,COc1ccc2oc(C)nc2c1,4
5,Cc1nc2c(C)cccc2o1,8
6,Cc1ccc(-c2nc3ccccc3o2)cc1,11
7,COc1ccc(-c2nc3ccccc3o2)cc1,12
8,Cc1ncccn1,4
9,N#Cc1ncccn1,5
